-10	-0.30699	0.056399	0.006918
-8	-0.12795	0.045023	-0.02105
-6	0.065931	0.040349	-0.04321
-4	0.260457	0.040256	-0.06409
-2	0.45485	0.044127	-0.0835
-1	0.552691	0.047827	-0.09351
0	0.64791	0.051832	-0.10338
1	0.743208	0.057095	-0.11199
2	0.837028	0.063162	-0.12182
3	0.930372	0.070135	-0.13053
4	1.02106	0.077888	-0.1373
5	1.10971	0.086527	-0.14547
6	1.19606	0.096105	-0.15235
7	1.28065	0.106448	-0.16249
8	1.36008	0.117507	-0.16918
10	1.50686	0.141826	-0.18368
12	1.63177	0.169244	-0.20312
15	1.73971	0.216285	-0.24708
18	1.727	0.28649	-0.34593
20	1.60298	0.379494	-0.42825
